STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
403-AUBER-280X190,0,0,,Y
403-BLACK-165X115,0,0,,Y
403-BLACK-225X155,0,0,,Y
403-BLACK-280X190,0,0,,Y
404-CREAM-165X115,0,0,,Y
404-CREAM-225X155,0,0,,Y
404-CREAM-280X190,0,0,,Y
405-ANT-165X115,0,0,,Y
405-ANT-225X155,0,0,,Y
405-ANT-280X190,0,0,,Y
405-RED-165X115,0,0,,Y
405-RED-225X155,0,0,,Y
405-RED-280X190,0,0,,Y
407-MULTI-165X115,0,0,,Y
407-MULTI-225X155,0,0,,Y
407-MULTI-280X190,0,0,,Y
4AGR21,0,0,,Y
500-BLUE-170X120,0,0,,Y
500-BLUE-225X155,0,0,,Y
500-BLUE-280X190,0,0,,Y
500-BLUE-300X80,0,0,,Y
500-BROWN-170X120,0,0,,Y
500-BROWN-225X155,0,0,,Y
500-BROWN-280X190,0,0,,Y
500-BROWN-300X80,0,0,,Y
500-GREEN-170X120,0,0,,Y
500-GREEN-225X155,0,0,,Y
500-GREEN-280X190,0,0,,Y
500-GREEN-300X80,0,0,,Y
500-PURPLE-170X120,0,0,,Y
500-PURPLE-225X155,0,0,,Y
500-PURPLE-280X190,0,0,,Y
500-PURPLE-300X80,0,0,,Y
500-RUST-170X120,0,0,,Y
500-RUST-225X155,0,0,,Y
500-RUST-280X190,0,0,,Y
500-RUST-300X80,0,0,,Y
501-WHITE-165X115,0,0,,Y
501-WHITE-225X155,0,0,,Y
501-WHITE-280X190,0,0,,Y
501-WHITE-300X80,0,0,,Y
502-WHITE-165X115,0,0,,Y
502-WHITE-225X155,0,0,,Y
502-WHITE-280X190,0,0,,Y
502-WHITE-300X80,0,0,,Y
503-BLUE-165X115,0,0,,Y
503-BLUE-190X190,0,0,,Y
503-BLUE-225X155,0,0,,Y
503-BLUE-280X190,0,0,,Y
503-BRO-165X115,0,0,,Y
503-BRO-225X155,0,0,,Y
